연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4204,강남구,압구정로 429,비포앤애프터클리닉,도로변(횡단보도 포함),일반쓰레기,37.5272094613196,127.044057499636,POINT (959708.7700714003 1947627.4465962728),POINT (127.0440022469649 37.5270721204969),37.5270721204969,127.0440022469649,63522,18763
4205,강남구,압구정로 429,비포앤애프터클리닉,도로변(횡단보도 포함),재활용쓰레기,37.5272094613196,127.044057499636,POINT (959708.7700714003 1947627.4465962728),POINT (127.0440022469649 37.5270721204969),37.5270721204969,127.0440022469649,63522,18763
4206,강남구,압구정로 407,갤러리아(EAST점),도로변(횡단보도 포함),일반쓰레기,37.527918187812,127.041831709947,POINT (959508.1321674952 1947694.4043423224),POINT (127.04172789303328 37.52766684408731),37.52766684408731,127.04172789303328,63520,18763
4207,강남구,압구정로 407,갤러리아(EAST점),도로변(횡단보도 포함),재활용쓰레기,37.527918187812,127.041831709947,POINT (959508.1321674952 1947694.4043423224),POINT (127.04172789303328 37.52766684408731),37.52766684408731,127.04172789303328,63520,18763
4208,강남구,압구정로 343,갤러리아(WEST점),도로변(횡단보도 포함),일반쓰레기,37.5284754434309,127.040052671773,POINT (959348.1024279324 1947746.7474616508),POINT (127.03991389083139 37.528131588393286),37.528131588393286,127.03991389083139,63519,18764
4209,강남구,압구정로 343,갤러리아(WEST점),도로변(횡단보도 포함),재활용쓰레기,37.5284754434309,127.040052671773,POINT (959348.1024279324 1947746.7474616508),POINT (127.03991389083139 37.528131588393286),37.528131588393286,127.03991389083139,63519,18764
4210,강남구,압구정로 343,갤러리아(생활관) 버스정류장(23-158),"정류소(버스,택시 등)",일반쓰레기,37.5284754434309,127.040052671773,POINT (959348.1024279324 1947746.7474616508),POINT (127.03991389083139 37.528131588393286),37.528131588393286,127.03991389083139,63519,18764
4211,강남구,압구정로 343,갤러리아(생활관) 버스정류장(23-158),"정류소(버스,택시 등)",재활용쓰레기,37.5284754434309,127.040052671773,POINT (959348.1024279324 1947746.7474616508),POINT (127.03991389083139 37.528131588393286),37.528131588393286,127.03991389083139,63519,18764
4212,강남구,압구정로 321,한양아파트 35동 앞,도로변(횡단보도 포함),일반쓰레기,37.5295119716843,127.038376464689,POINT (959208.7708979876 1947887.360359261),POINT (127.0383292134818 37.52939282515145),37.52939282515145,127.0383292134818,63519,18764
4213,강남구,압구정로 321,한양아파트 35동 앞,도로변(횡단보도 포함),재활용쓰레기,37.5295119716843,127.038376464689,POINT (959208.7708979876 1947887.360359261),POINT (127.0383292134818 37.52939282515145),37.52939282515145,127.0383292134818,63519,18764
4214,강남구,압구정로 313,한양아파트 61동 앞 압구정 파출소 버스정류장(23-156),"정류소(버스,택시 등)",일반쓰레기,37.5298739327833,127.03599584345,POINT (958984.1678981286 1947947.4707546958),POINT (127.03578389909683 37.52992465526393),37.52992465526393,127.03578389909683,63517,18764
4215,강남구,압구정로 313,한양아파트 61동 앞 압구정 파출소 버스정류장(23-156),"정류소(버스,택시 등)",재활용쓰레기,37.5298739327833,127.03599584345,POINT (958984.1678981286 1947947.4707546958),POINT (127.03578389909683 37.52992465526393),37.52992465526393,127.03578389909683,63517,18764
4216,강남구,압구정로 309,현대아파트 91동 앞,도로변(횡단보도 포함),일반쓰레기,37.5319211463698,127.035538506088,POINT (958969.3632583852 1948186.8984348597),POINT (127.03560296550964 37.53208203541075),37.53208203541075,127.03560296550964,63517,18766
4217,강남구,압구정로 309,현대아파트 91동 앞,도로변(횡단보도 포함),재활용쓰레기,37.5319211463698,127.035538506088,POINT (958969.3632583852 1948186.8984348597),POINT (127.03560296550964 37.53208203541075),37.53208203541075,127.03560296550964,63517,18766
4218,강남구,압구정로 201,현대아파트 84동 앞 버스정류장(23-148),"정류소(버스,택시 등)",일반쓰레기,37.5315341736395,127.029273123095,POINT (958406.5200172041 1948140.3753261066),POINT (127.0292353684116 37.53163748599641),37.53163748599641,127.0292353684116,63514,18765
4219,강남구,압구정로 201,현대아파트 84동 앞 버스정류장(23-148),"정류소(버스,택시 등)",재활용쓰레기,37.5315341736395,127.029273123095,POINT (958406.5200172041 1948140.3753261066),POINT (127.0292353684116 37.53163748599641),37.53163748599641,127.0292353684116,63514,18765
4220,강남구,압구정로 201,압구정역 1번출구,지하철역 입구,일반쓰레기,37.5315341736395,127.029273123095,POINT (958406.5200172041 1948140.3753261066),POINT (127.0292353684116 37.53163748599641),37.53163748599641,127.0292353684116,63514,18765
4221,강남구,압구정로 201,압구정역 1번출구,지하철역 입구,재활용쓰레기,37.5315341736395,127.029273123095,POINT (958406.5200172041 1948140.3753261066),POINT (127.0292353684116 37.53163748599641),37.53163748599641,127.0292353684116,63514,18765
4222,강남구,압구정로 151,신현대아파트 103동,도로변(횡단보도 포함),일반쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4223,강남구,압구정로 151,신현대아파트 103동,도로변(횡단보도 포함),재활용쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4224,강남구,압구정로 151,경희마루한의원 버스정류장(23-104),"정류소(버스,택시 등)",일반쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4225,강남구,압구정로 151,경희마루한의원 버스정류장(23-104),"정류소(버스,택시 등)",재활용쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4226,강남구,압구정로 151,현대아파트 101동 앞,도로변(횡단보도 포함),일반쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4227,강남구,압구정로 151,현대아파트 101동 앞,도로변(횡단보도 포함),재활용쓰레기,37.5267858196588,127.024454982256,POINT (957971.9820015037 1947619.6521156158),POINT (127.02434712576725 37.52692433880384),37.52692433880384,127.02434712576725,63512,18763
4228,강남구,압구정로 123,신사중학교 앞,도로변(횡단보도 포함),일반쓰레기,37.5246515742682,127.020918846207,POINT (957658.4094153374 1947384.5697303615),POINT (127.02081192900634 37.52479112215768),37.52479112215768,127.02081192900634,63510,18762
4229,강남구,압구정로 123,신사중학교 앞,도로변(횡단보도 포함),재활용쓰레기,37.5246515742682,127.020918846207,POINT (957658.4094153374 1947384.5697303615),POINT (127.02081192900634 37.52479112215768),37.52479112215768,127.02081192900634,63510,18762
4230,강남구,압구정로 123,신사중학교 버스정류장(23-102),"정류소(버스,택시 등)",일반쓰레기,37.5246515742682,127.020918846207,POINT (957658.4094153374 1947384.5697303615),POINT (127.02081192900634 37.52479112215768),37.52479112215768,127.02081192900634,63510,18762
4231,강남구,압구정로 123,신사중학교 버스정류장(23-102),"정류소(버스,택시 등)",재활용쓰레기,37.5246515742682,127.020918846207,POINT (957658.4094153374 1947384.5697303615),POINT (127.02081192900634 37.52479112215768),37.52479112215768,127.02081192900634,63510,18762
4232,강남구,압구정로 113,미성2차 23동 앞,도로변(횡단보도 포함),일반쓰레기,37.5244043008813,127.018445606778,POINT (957453.9345654001 1947329.705236358),POINT (127.01850109999998 37.5242872),37.5242872,127.01850109999998,63509,18762
4233,강남구,압구정로 113,미성2차 23동 앞,도로변(횡단보도 포함),재활용쓰레기,37.5244043008813,127.018445606778,POINT (957453.9345654001 1947329.705236358),POINT (127.01850109999998 37.5242872),37.5242872,127.01850109999998,63509,18762
4234,강남구,압구정로 108,덕산빌딩 버스정류장(23-101),"정류소(버스,택시 등)",일반쓰레기,37.5228889090644,127.020600022676,POINT (957628.3317113762 1947189.9136349233),POINT (127.02048277434973 37.52303524416334),37.52303524416334,127.02048277434973,63510,18761
4235,강남구,압구정로 108,덕산빌딩 버스정류장(23-101),"정류소(버스,택시 등)",재활용쓰레기,37.5228889090644,127.020600022676,POINT (957628.3317113762 1947189.9136349233),POINT (127.02048277434973 37.52303524416334),37.52303524416334,127.02048277434973,63510,18761
4236,강남구,압구정로 128,신사동 주민센터,도로변(횡단보도 포함),일반쓰레기,37.5239744838924,127.022796432269,POINT (957821.6165411499 1947311.1096569279),POINT (127.02266313587918 37.524136482806384),37.524136482806384,127.02266313587918,63511,18762
4237,강남구,압구정로 128,신사동 주민센터,도로변(횡단보도 포함),재활용쓰레기,37.5239744838924,127.022796432269,POINT (957821.6165411499 1947311.1096569279),POINT (127.02266313587918 37.524136482806384),37.524136482806384,127.02266313587918,63511,18762
4240,강남구,압구정로 168,압구정역 5번출구,지하철역 입구,일반쓰레기,37.5266258290626,127.02798435354,POINT (958281.3444695649 1947602.8495137854),POINT (127.02784918651199 37.526786940469556),37.526786940469556,127.02784918651199,63513,18763
4241,강남구,압구정로 168,압구정역 5번출구,지하철역 입구,재활용쓰레기,37.5266258290626,127.02798435354,POINT (958281.3444695649 1947602.8495137854),POINT (127.02784918651199 37.526786940469556),37.526786940469556,127.02784918651199,63513,18763
4242,강남구,압구정로 216,소망부동산 버스정류장(23-149),"정류소(버스,택시 등)",일반쓰레기,37.5280853233349,127.031024642567,POINT (958548.6179939891 1947771.941938066),POINT (127.0308644162328 37.528323078756806),37.528323078756806,127.0308644162328,63515,18764
4243,강남구,압구정로 216,소망부동산 버스정류장(23-149),"정류소(버스,택시 등)",재활용쓰레기,37.5280853233349,127.031024642567,POINT (958548.6179939891 1947771.941938066),POINT (127.0308644162328 37.528323078756806),37.528323078756806,127.0308644162328,63515,18764
4244,강남구,압구정로 230,라움,도로변(횡단보도 포함),일반쓰레기,37.528754270626,127.033184402579,POINT (958748.8023522749 1947843.9982787634),POINT (127.03312593191235 37.52898152377303),37.52898152377303,127.03312593191235,63516,18764
4245,강남구,압구정로 230,라움,도로변(횡단보도 포함),재활용쓰레기,37.528754270626,127.033184402579,POINT (958748.8023522749 1947843.9982787634),POINT (127.03312593191235 37.52898152377303),37.52898152377303,127.03312593191235,63516,18764
4246,강남구,압구정로 310,대영부동산,도로변(횡단보도 포함),일반쓰레기,37.5287834827873,127.035291971234,POINT (958944.7254607476 1947848.2156363046),POINT (127.03534305372956 37.52902828115465),37.52902828115465,127.03534305372956,63517,18764
4247,강남구,압구정로 310,대영부동산,도로변(횡단보도 포함),재활용쓰레기,37.5287834827873,127.035291971234,POINT (958944.7254607476 1947848.2156363046),POINT (127.03534305372956 37.52902828115465),37.52902828115465,127.03534305372956,63517,18764
4248,강남구,압구정로 316,더블유 수약국 버스정류장(23-157),"정류소(버스,택시 등)",일반쓰레기,37.5287140639694,127.03602685018,POINT (959011.060399798 1947832.7588136147),POINT (127.03609466208741 37.52889191517994),37.52889191517994,127.03609466208741,63518,18764
4249,강남구,압구정로 316,더블유 수약국 버스정류장(23-157),"정류소(버스,택시 등)",재활용쓰레기,37.5287140639694,127.03602685018,POINT (959011.060399798 1947832.7588136147),POINT (127.03609466208741 37.52889191517994),37.52889191517994,127.03609466208741,63518,18764
4250,강남구,압구정로 328,우리은행,도로변(횡단보도 포함),일반쓰레기,37.5283378978473,127.037467975824,POINT (959138.9425346712 1947791.7796838481),POINT (127.03754424584949 37.52852823313021),37.52852823313021,127.03754424584949,63518,18764
4251,강남구,압구정로 328,우리은행,도로변(횡단보도 포함),재활용쓰레기,37.5283378978473,127.037467975824,POINT (959138.9425346712 1947791.7796838481),POINT (127.03754424584949 37.52852823313021),37.52852823313021,127.03754424584949,63518,18764
4252,강남구,압구정로 338,동서상가 버스정류장(23-159),"정류소(버스,택시 등)",일반쓰레기,37.5279245130015,127.038877956425,POINT (959265.0214929081 1947751.3286155013),POINT (127.03897337918873 37.52816921310178),37.52816921310178,127.03897337918873,63519,18764
4253,강남구,압구정로 338,동서상가 버스정류장(23-159),"정류소(버스,택시 등)",재활용쓰레기,37.5279245130015,127.038877956425,POINT (959265.0214929081 1947751.3286155013),POINT (127.03897337918873 37.52816921310178),37.52816921310178,127.03897337918873,63519,18764
4254,강남구,압구정로 344,압구정로데오역 6번출구,지하철역 입구,일반쓰레기,37.5277013711974,127.039850205178,POINT (959350.2033956236 1947722.8167770705),POINT (127.03993899298571 37.527915985804505),37.527915985804505,127.03993899298571,63519,18763
4255,강남구,압구정로 344,압구정로데오역 6번출구,지하철역 입구,재활용쓰레기,37.5277013711974,127.039850205178,POINT (959350.2033956236 1947722.8167770705),POINT (127.03993899298571 37.527915985804505),37.527915985804505,127.03993899298571,63519,18763
4256,강남구,선릉로 846,CJ성형외과,도로변(횡단보도 포함),일반쓰레기,37.5274483971332,127.040825599548,POINT (959412.8679651946 1947674.9957554773),POINT (127.0406508321502 37.527487719532054),37.527487719532054,127.0406508321502,63520,18763
4257,강남구,선릉로 846,CJ성형외과,도로변(횡단보도 포함),재활용쓰레기,37.5274483971332,127.040825599548,POINT (959412.8679651946 1947674.9957554773),POINT (127.0406508321502 37.527487719532054),37.527487719532054,127.0406508321502,63520,18763
4258,강남구,압구정로 440,삼아약품 버스정류장(23182),"정류소(버스,택시 등)",일반쓰레기,37.5263887021447,127.045108894439,POINT (959813.2547285702 1947572.4344043375),POINT (127.04518773290405 37.52658083657881),37.52658083657881,127.04518773290405,63522,18763
4259,강남구,압구정로 440,삼아약품 버스정류장(23182),"정류소(버스,택시 등)",재활용쓰레기,37.5263887021447,127.045108894439,POINT (959813.2547285702 1947572.4344043375),POINT (127.04518773290405 37.52658083657881),37.52658083657881,127.04518773290405,63522,18763
4260,강남구,도산대로 459,버버리,도로변(횡단보도 포함),일반쓰레기,37.5244860310403,127.046793787111,POINT (959977.5545475172 1947349.0542745173),POINT (127.04705931110426 37.52457458035462),37.52457458035462,127.04705931110426,63523,18762
4261,강남구,도산대로 459,버버리,도로변(횡단보도 포함),재활용쓰레기,37.5244860310403,127.046793787111,POINT (959977.5545475172 1947349.0542745173),POINT (127.04705931110426 37.52457458035462),37.52457458035462,127.04705931110426,63523,18762
4262,강남구,도산대로 521,링링 앞,도로변(횡단보도 포함),일반쓰레기,37.5248722572746,127.050379366946,POINT (960273.5100824233 1947362.8525028767),POINT (127.05040784810667 37.52471174602153),37.52471174602153,127.05040784810667,63525,18762
4263,강남구,도산대로 521,링링 앞,도로변(횡단보도 포함),재활용쓰레기,37.5248722572746,127.050379366946,POINT (960273.5100824233 1947362.8525028767),POINT (127.05040784810667 37.52471174602153),37.52471174602153,127.05040784810667,63525,18762
4264,강남구,도산대로 511,미니스톱 버스정류장(23-166),"정류소(버스,택시 등)",일반쓰레기,37.5247542812645,127.049179349883,POINT (960168.2907726592 1947347.044591832),POINT (127.04921795243355 37.52456472487622),37.52456472487622,127.04921795243355,63524,18762
4265,강남구,도산대로 511,미니스톱 버스정류장(23-166),"정류소(버스,택시 등)",재활용쓰레기,37.5247542812645,127.049179349883,POINT (960168.2907726592 1947347.044591832),POINT (127.04921795243355 37.52456472487622),37.52456472487622,127.04921795243355,63524,18762
4266,강남구,도산대로 443,탐앤탐스,도로변(횡단보도 포함),일반쓰레기,37.5241614936041,127.044451987829,POINT (959750.0113182018 1947282.6991682344),POINT (127.0444878771623 37.52396659519205),37.52396659519205,127.0444878771623,63522,18761
4267,강남구,도산대로 443,탐앤탐스,도로변(횡단보도 포함),재활용쓰레기,37.5241614936041,127.044451987829,POINT (959750.0113182018 1947282.6991682344),POINT (127.0444878771623 37.52396659519205),37.52396659519205,127.0444878771623,63522,18761
4268,강남구,도산대로 419,밀레,도로변(횡단보도 포함),일반쓰레기,37.5238470742915,127.041649227685,POINT (959502.3816861134 1947247.612590002),POINT (127.04168745061662 37.523639506309344),37.523639506309344,127.04168745061662,63520,18761
4269,강남구,도산대로 419,밀레,도로변(횡단보도 포함),재활용쓰레기,37.5238470742915,127.041649227685,POINT (959502.3816861134 1947247.612590002),POINT (127.04168745061662 37.523639506309344),37.523639506309344,127.04168745061662,63520,18761
4270,강남구,선릉로 801,국민은행,도로변(횡단보도 포함),일반쓰레기,37.5235716964761,127.038832710012,POINT (959277.2973560826 1947233.9056126387),POINT (127.03914100090131 37.52350604859606),37.52350604859606,127.03914100090131,63519,18761
4271,강남구,선릉로 801,국민은행,도로변(횡단보도 포함),재활용쓰레기,37.5235716964761,127.038832710012,POINT (959277.2973560826 1947233.9056126387),POINT (127.03914100090131 37.52350604859606),37.52350604859606,127.03914100090131,63519,18761
4272,강남구,도산대로 327,쉐이크쉑 버스정류장(23-161),"정류소(버스,택시 등)",일반쓰레기,37.5231196123278,127.037598626747,POINT (959152.0535381598 1947161.6636488116),POINT (127.03772767588283 37.52284936826936),37.52284936826936,127.03772767588283,63518,18761
4273,강남구,도산대로 327,쉐이크쉑 버스정류장(23-161),"정류소(버스,택시 등)",재활용쓰레기,37.5231196123278,127.037598626747,POINT (959152.0535381598 1947161.6636488116),POINT (127.03772767588283 37.52284936826936),37.52284936826936,127.03772767588283,63518,18761
4274,강남구,도산대로 307,기업은행,도로변(횡단보도 포함),일반쓰레기,37.5222760218429,127.034896933822,POINT (958913.1872263033 1947069.15840297),POINT (127.03502970425467 37.52200497628177),37.52200497628177,127.03502970425467,63517,18761
4275,강남구,도산대로 307,기업은행,도로변(횡단보도 포함),재활용쓰레기,37.5222760218429,127.034896933822,POINT (958913.1872263033 1947069.15840297),POINT (127.03502970425467 37.52200497628177),37.52200497628177,127.03502970425467,63517,18761
4276,강남구,도산대로 239,한성모터스,도로변(횡단보도 포함),일반쓰레기,37.5217621087616,127.033270446065,POINT (958783.1839487479 1947051.1207828296),POINT (127.03355954286283 37.52183659619152),37.52183659619152,127.03355954286283,63516,18760
4277,강남구,도산대로 239,한성모터스,도로변(횡단보도 포함),재활용쓰레기,37.5217621087616,127.033270446065,POINT (958783.1839487479 1947051.1207828296),POINT (127.03355954286283 37.52183659619152),37.52183659619152,127.03355954286283,63516,18760
4278,강남구,도산대로 221,마세라티 강남전시장 버스정류장(23-151),"정류소(버스,택시 등)",일반쓰레기,37.5210047400752,127.030896032808,POINT (958557.6737327082 1946933.6759106868),POINT (127.03101420383699 37.52076792052989),37.52076792052989,127.03101420383699,63515,18760
4279,강남구,도산대로 221,마세라티 강남전시장 버스정류장(23-151),"정류소(버스,택시 등)",재활용쓰레기,37.5210047400752,127.030896032808,POINT (958557.6737327082 1946933.6759106868),POINT (127.03101420383699 37.52076792052989),37.52076792052989,127.03101420383699,63515,18760
4280,강남구,도산대로 157,바른약국,도로변(횡단보도 포함),일반쓰레기,37.5190318997662,127.025642795762,POINT (958092.3860442037 1946723.3351723375),POINT (127.02576089751298 37.51885102566168),37.51885102566168,127.02576089751298,63512,18759
4281,강남구,도산대로 157,바른약국,도로변(횡단보도 포함),재활용쓰레기,37.5190318997662,127.025642795762,POINT (958092.3860442037 1946723.3351723375),POINT (127.02576089751298 37.51885102566168),37.51885102566168,127.02576089751298,63512,18759
4282,강남구,도산대로 127,KT 버스정류장(23-108),"정류소(버스,택시 등)",일반쓰레기,37.5176251157761,127.022327330675,POINT (957797.7822449623 1946570.7392058389),POINT (127.02243594397275 37.51746219586039),37.51746219586039,127.02243594397275,63511,18758
4283,강남구,도산대로 127,KT 버스정류장(23-108),"정류소(버스,택시 등)",재활용쓰레기,37.5176251157761,127.022327330675,POINT (957797.7822449623 1946570.7392058389),POINT (127.02243594397275 37.51746219586039),37.51746219586039,127.02243594397275,63511,18758
4284,강남구,도산대로 111,신사역 8번출구,지하철역 입구,일반쓰레기,37.5169615546195,127.020689790302,POINT (957653.3002560867 1946495.9767733281),POINT (127.0208053342377 37.51678171593625),37.51678171593625,127.0208053342377,63510,18758
4285,강남구,도산대로 111,신사역 8번출구,지하철역 입구,재활용쓰레기,37.5169615546195,127.020689790302,POINT (957653.3002560867 1946495.9767733281),POINT (127.0208053342377 37.51678171593625),37.51678171593625,127.0208053342377,63510,18758
4286,강남구,도산대로 107,신사역 7번출구,지하철역 입구,일반쓰레기,37.5167802830689,127.02010810325,POINT (957604.4163695805 1946471.143979541),POINT (127.02025361550103 37.516555644406274),37.516555644406274,127.02025361550103,63510,18758
4287,강남구,도산대로 107,신사역 7번출구,지하철역 입구,재활용쓰레기,37.5167802830689,127.02010810325,POINT (957604.4163695805 1946471.143979541),POINT (127.02025361550103 37.516555644406274),37.516555644406274,127.02025361550103,63510,18758
4288,강남구,도산대로 106,신사역 2번출구,지하철역 입구,일반쓰레기,37.5161268144095,127.020462427035,POINT (957612.114564204 1946444.2943038119),POINT (127.02034227408144 37.5163139933449),37.5163139933449,127.02034227408144,63510,18758
4289,강남구,도산대로 106,신사역 2번출구,지하철역 입구,재활용쓰레기,37.5161268144095,127.020462427035,POINT (957612.114564204 1946444.2943038119),POINT (127.02034227408144 37.5163139933449),37.5163139933449,127.02034227408144,63510,18758
4290,강남구,도산대로 114,신사역 1번출구,지하철역 입구,일반쓰레기,37.5164493306335,127.021217214623,POINT (957679.6662093196 1946478.40659455),POINT (127.02110469348547 37.51662456025279),37.51662456025279,127.02110469348547,63510,18758
4291,강남구,도산대로 114,신사역 1번출구,지하철역 입구,재활용쓰레기,37.5164493306335,127.021217214623,POINT (957679.6662093196 1946478.40659455),POINT (127.02110469348547 37.51662456025279),37.51662456025279,127.02110469348547,63510,18758
4292,강남구,도산대로 120,청호빌딩 버스정류장(23-111),"정류소(버스,택시 등)",일반쓰레기,37.5167333867393,127.021877320289,POINT (957738.8403723284 1946508.2860917244),POINT (127.02177256607405 37.5168965869293),37.5168965869293,127.02177256607405,63510,18758
4293,강남구,도산대로 120,청호빌딩 버스정류장(23-111),"정류소(버스,택시 등)",재활용쓰레기,37.5167333867393,127.021877320289,POINT (957738.8403723284 1946508.2860917244),POINT (127.02177256607405 37.5168965869293),37.5168965869293,127.02177256607405,63510,18758
4294,강남구,도산대로 134,스타벅스 도산가로수길 점 앞,도로변(횡단보도 포함),일반쓰레기,37.5173531693456,127.023380583993,POINT (957871.9440391881 1946576.2262778743),POINT (127.02327482419058 37.51751504281204),37.51751504281204,127.02327482419058,63511,18758
4295,강남구,도산대로 134,스타벅스 도산가로수길 점 앞,도로변(횡단보도 포함),재활용쓰레기,37.5173531693456,127.023380583993,POINT (957871.9440391881 1946576.2262778743),POINT (127.02327482419058 37.51751504281204),37.51751504281204,127.02327482419058,63511,18758
4296,강남구,도산대로 202,을지병원,도로변(횡단보도 포함),일반쓰레기,37.5194081037449,127.028627227383,POINT (958325.0377768598 1946776.8645989501),POINT (127.02839053564477 37.51934404562083),37.51934404562083,127.02839053564477,63514,18759
4297,강남구,도산대로 202,을지병원,도로변(횡단보도 포함),재활용쓰레기,37.5194081037449,127.028627227383,POINT (958325.0377768598 1946776.8645989501),POINT (127.02839053564477 37.51934404562083),37.51934404562083,127.02839053564477,63514,18759
4298,강남구,도산대로 218,에이스침대,도로변(횡단보도 포함),일반쓰레기,37.5201749281633,127.030850895109,POINT (958532.6073260902 1946893.9318405343),POINT (127.0307327898443 37.52040856732769),37.52040856732769,127.0307327898443,63515,18760
4299,강남구,도산대로 218,에이스침대,도로변(횡단보도 포함),재활용쓰레기,37.5201749281633,127.030850895109,POINT (958532.6073260902 1946893.9318405343),POINT (127.0307327898443 37.52040856732769),37.52040856732769,127.0307327898443,63515,18760
4300,강남구,도산대로 306 ,아우디 도산대로전시장 앞,도로변(횡단보도 포함),일반쓰레기,37.5214438634783,127.034870641316,POINT (958888.4931116834 1947034.5686156943),POINT (127.03475219084129 37.52169210643953),37.52169210643953,127.03475219084129,63517,18760
4301,강남구,도산대로 306 ,아우디 도산대로전시장 앞,도로변(횡단보도 포함),재활용쓰레기,37.5214438634783,127.034870641316,POINT (958888.4931116834 1947034.5686156943),POINT (127.03475219084129 37.52169210643953),37.52169210643953,127.03475219084129,63517,18760
4302,강남구,도산대로 318,신한은행 도산대로지점,도로변(횡단보도 포함),일반쓰레기,37.5218417619334,127.036895154956,POINT (959086.2461649702 1947028.8706653512),POINT (127.03699035897588 37.52164954307188),37.52164954307188,127.03699035897588,63518,18760
4303,강남구,도산대로 318,신한은행 도산대로지점,도로변(횡단보도 포함),재활용쓰레기,37.5218417619334,127.036895154956,POINT (959086.2461649702 1947028.8706653512),POINT (127.03699035897588 37.52164954307188),37.52164954307188,127.03699035897588,63518,18760
4304,강남구,도산대로 336,삼성전자서비스센터,도로변(횡단보도 포함),일반쓰레기,37.522633187522,127.038907790263,POINT (959281.6907096504 1947145.0047345578),POINT (127.03919564739988 37.5227049488328),37.5227049488328,127.03919564739988,63519,18761
4305,강남구,도산대로 336,삼성전자서비스센터,도로변(횡단보도 포함),재활용쓰레기,37.522633187522,127.038907790263,POINT (959281.6907096504 1947145.0047345578),POINT (127.03919564739988 37.5227049488328),37.5227049488328,127.03919564739988,63519,18761
4306,강남구,선릉로 762,하나금융프라자,도로변(횡단보도 포함),일반쓰레기,37.5228690366276,127.039550797134,POINT (959288.9926693046 1947156.9988799242),POINT (127.03927761559301 37.522813378514364),37.522813378514364,127.03927761559301,63519,18761
4307,강남구,선릉로 762,하나금융프라자,도로변(횡단보도 포함),재활용쓰레기,37.5228690366276,127.039550797134,POINT (959288.9926693046 1947156.9988799242),POINT (127.03927761559301 37.522813378514364),37.522813378514364,127.03927761559301,63519,18761
4308,강남구,도산대로 420,포르쉐스튜디오,도로변(횡단보도 포함),일반쓰레기,37.5230539082669,127.042195064505,POINT (959540.9188108753 1947226.2364997177),POINT (127.04212474095377 37.52344852785466),37.52344852785466,127.04212474095377,63521,18761
4309,강남구,도산대로 420,포르쉐스튜디오,도로변(횡단보도 포함),재활용쓰레기,37.5230539082669,127.042195064505,POINT (959540.9188108753 1947226.2364997177),POINT (127.04212474095377 37.52344852785466),37.52344852785466,127.04212474095377,63521,18761
4310,강남구,도산대로 442,SSG푸드마켓 버스정류장(23-185),"정류소(버스,택시 등)",일반쓰레기,37.5233111622682,127.044119009562,POINT (959711.3247592949 1947250.15543166),POINT (127.04405185632437 37.52367157792423),37.52367157792423,127.04405185632437,63522,18761
4311,강남구,도산대로 442,SSG푸드마켓 버스정류장(23-185),"정류소(버스,택시 등)",재활용쓰레기,37.5233111622682,127.044119009562,POINT (959711.3247592949 1947250.15543166),POINT (127.04405185632437 37.52367157792423),37.52367157792423,127.04405185632437,63522,18761
4314,강남구,도산대로 524,청담빌딩,도로변(횡단보도 포함),일반쓰레기,37.52426721752,127.050838931342,POINT (960307.4658662401 1947340.548589947),POINT (127.05079332666952 37.52451217523159),37.52451217523159,127.05079332666952,63525,18762
4315,강남구,도산대로 524,청담빌딩,도로변(횡단보도 포함),재활용쓰레기,37.52426721752,127.050838931342,POINT (960307.4658662401 1947340.548589947),POINT (127.05079332666952 37.52451217523159),37.52451217523159,127.05079332666952,63525,18762
4316,강남구,도산대로 532,스타벅스 청담점 버스정류장(23-167),"정류소(버스,택시 등)",일반쓰레기,37.5243444672802,127.051591952726,POINT (960373.863399735 1947350.0701515905),POINT (127.05154422321613 37.52460085201615),37.52460085201615,127.05154422321613,63525,18762
4317,강남구,도산대로 532,스타벅스 청담점 버스정류장(23-167),"정류소(버스,택시 등)",재활용쓰레기,37.5243444672802,127.051591952726,POINT (960373.863399735 1947350.0701515905),POINT (127.05154422321613 37.52460085201615),37.52460085201615,127.05154422321613,63525,18762
4318,강남구,도산대로 536,프리마호텔,도로변(횡단보도 포함),일반쓰레기,37.524303327085,127.052126446089,POINT (960419.4464381877 1947356.6068659483),POINT (127.05205972755063 37.52466172738222),37.52466172738222,127.05205972755063,63526,18762
